rootlength,Hair Root length,Sample,Genotype,Treatment
6.87,0.95,dP_Mock,dP,Mock
6.04,0.59,dP_Mock,dP,Mock
5.94,1.14,dP_Mock,dP,Mock
3.93,1,dP_Mock,dP,Mock
6.31,1.09,dP_Mock,dP,Mock
6.7,0.94,dP_Mock,dP,Mock
7.76,0.8,dP_Mock,dP,Mock
6.4,0.94,dP_Mock,dP,Mock
6.23,0.94,dP_Mock,dP,Mock
7.35,1,dP_Mock,dP,Mock
6.64,0.92,dP_Mock,dP,Mock
7.75,1.42,dP_Mock,dP,Mock
5.77,0.67,dP_Mock,dP,Mock
6.25,1.34,dP_Mock,dP,Mock
5.13,1.26,dP_Mock,dP,Mock
5.5,0.91,dP_Mock,dP,Mock
5.88,0.88,dP_Mock,dP,Mock
6.57,1.06,dP_Mock,dP,Mock
7.49,1.51,dP_Mock,dP,Mock
8.34,0.94,dP_Mock,dP,Mock
6.82,1.01,dP_Mock,dP,Mock
5.34,0.98,dP_Mock,dP,Mock
6.3,1.16,dP_Mock,dP,Mock
7.97,1.14,dP_Mock,dP,Mock
4.86,1.29,dP_Mock,dP,Mock
5.89,1.01,dP_Mock,dP,Mock
5.8,1.28,dP_Mock,dP,Mock
5.22,0.98,dP_Mock,dP,Mock
5.72,1.3,dP_Mock,dP,Mock
7.42,1.07,dP_Mock,dP,Mock
3.91,0.7,dP_Mock,dP,Mock
7.32,0.85,dP_Mock,dP,Mock
6.17,0.7,dP_Mock,dP,Mock
6.35,0.93,dP_Mock,dP,Mock
6.73,0.64,dP_Mock,dP,Mock
4.13,0.89,dP_Mock,dP,Mock
4.9,1.08,dP_Mock,dP,Mock
4.3,1.23,dP_Mock,dP,Mock
6.78,1.13,dP_Mock,dP,Mock
7.37,0.91,dP_Mock,dP,Mock
8.17,0.87,dP_Mock,dP,Mock
4.64,0.88,dP_Mock,dP,Mock
7.33,1.02,dP_Mock,dP,Mock
5.63,0.82,dP_Mock,dP,Mock
5.34,1.04,dP_Mock,dP,Mock
6.03,1.03,dP_Mock,dP,Mock
6.79,1.16,dP_Mock,dP,Mock
5.13,1.36,dP_Mock,dP,Mock
6.35,0.7,dP_Mock,dP,Mock
5.84,1.55,dP_Mock,dP,Mock
6.48,1.03,dP_Mock,dP,Mock
5.47,0.75,dP_Mock,dP,Mock
7.16,0.75,dP_Mock,dP,Mock
5.09,1.1,dP_Mock,dP,Mock
5.77,0.92,dP_Mock,dP,Mock
5.58,0.87,dP_Mock,dP,Mock
7.45,1.11,dP_Mock,dP,Mock
6.87,1.06,dP_Mock,dP,Mock
5.86,0.9,dP_Mock,dP,Mock
5.68,0.93,dP_Mock,dP,Mock
6.25,0.78,dP_Mock,dP,Mock
4.08,1.03,dP_Mock,dP,Mock
6.04,1.08,dP_Mock,dP,Mock
7.11,1.12,dP_Mock,dP,Mock
4.96,1.3,dP_Mock,dP,Mock
5.19,0.85,dP_Mock,dP,Mock
5.18,1.01,dP_Mock,dP,Mock
6.67,0.82,dP_Mock,dP,Mock
6.8,1.22,dP_Mock,dP,Mock
6.06,1.2,dP_Mock,dP,Mock
6.04,1.11,dP_Mock,dP,Mock
7.4,0.92,dP_Mock,dP,Mock
6.33,0.5,dP_Mock,dP,Mock
6.51,1.03,dP_Mock,dP,Mock
6.63,1.21,dP_Mock,dP,Mock
6.39,0.73,dP_Mock,dP,Mock
6.26,1.2,dP_Mock,dP,Mock
7.1,1,dP_Mock,dP,Mock
4.48,0.83,dP_Mock,dP,Mock
5.57,1.13,dP_Mock,dP,Mock
5.59,0.86,dP_Mock,dP,Mock
6.84,1.16,dP_Mock,dP,Mock
6.57,0.48,dP_Mock,dP,Mock
5.34,1.02,dP_Mock,dP,Mock
5.3,0.86,dP_Mock,dP,Mock
5.26,1.31,dP_Mock,dP,Mock
5.16,1.15,dP_Mock,dP,Mock
5.61,0.92,dP_Mock,dP,Mock
6.2,1.22,dP_Mock,dP,Mock
6.96,1.14,dP_Mock,dP,Mock
7.41,0.82,dP_Mock,dP,Mock
5.75,1.31,dP_Mock,dP,Mock
3.63,1.1,dP_Mock,dP,Mock
6.72,0.97,dP_Mock,dP,Mock
4.65,0.96,dP_Mock,dP,Mock
4.97,0.94,dP_Mock,dP,Mock
6.01,1.35,dP_Mock,dP,Mock
6.33,1.13,dP_Mock,dP,Mock
7.13,1.05,dP_Mock,dP,Mock
5.59,0.71,dP_Mock,dP,Mock
6.53,0.78,dP_Mock,dP,Mock
6.76,0.87,dP_Mock,dP,Mock
4.64,1.05,dP_Mock,dP,Mock
5.76,0.98,dP_Mock,dP,Mock
5.61,1.06,dP_Mock,dP,Mock
6.23,0.74,dP_Mock,dP,Mock
6.7,1.13,dP_Mock,dP,Mock
6.03,0.98,dP_Mock,dP,Mock
4.37,0.95,dP_Mock,dP,Mock
4.48,0.47,dP_Mock,dP,Mock
5.59,0.75,dP_Mock,dP,Mock
5.11,1.2,dP_Mock,dP,Mock
5.73,0.99,dP_Mock,dP,Mock
6.33,1.27,dP_Mock,dP,Mock
4.24,1.09,dP_Mock,dP,Mock
8.44,1.11,dP_Mock,dP,Mock
8.05,0.77,dP_Mock,dP,Mock
4.45,1.03,dP_Mock,dP,Mock
4.79,1.14,dP_Mock,dP,Mock
6.83,0.66,dP_Mock,dP,Mock
5.76,0.61,dP_Mock,dP,Mock
6.85,1,dP_Mock,dP,Mock
5.4,1.01,dP_Mock,dP,Mock
6.49,0.63,dP_Mock,dP,Mock
6.07,0.99,dP_Mock,dP,Mock
6.71,0.85,dP_Mock,dP,Mock
6.02,0.52,dP_Mock,dP,Mock
5.54,0.94,dP_Mock,dP,Mock
5.77,1.01,dP_Mock,dP,Mock
5.64,0.87,dP_Mock,dP,Mock
6.13,0.78,dP_Mock,dP,Mock
5.45,1.16,dP_Mock,dP,Mock
5.98,0.86,dP_Mock,dP,Mock
5.27,0.7,dP_Mock,dP,Mock
6.66,1.36,dP_Mock,dP,Mock
5.14,0.82,dP_Mock,dP,Mock
3.78,1,dP_Mock,dP,Mock
6.44,1.28,dP_Mock,dP,Mock
4.7,0.94,dP_Mock,dP,Mock
5.22,0.92,dP_Mock,dP,Mock
5.11,0.56,dP_Mock,dP,Mock
5.34,0.76,dP_Mock,dP,Mock
6.01,1.1,dP_Mock,dP,Mock
5.27,1.2,dP_Mock,dP,Mock
7.46,1.1,dP_Mock,dP,Mock
6.12,1,dP_Mock,dP,Mock
6.82,1.05,dP_Mock,dP,Mock
6.3,1.15,dP_Mock,dP,Mock
6.21,0.54,dP_Mock,dP,Mock
6.09,0.9,dP_Mock,dP,Mock
6.76,0.89,dP_Mock,dP,Mock
5.75,1.01,dP_Mock,dP,Mock
6.14,1.15,dP_Mock,dP,Mock
6.55,1.31,dP_Mock,dP,Mock
6.55,0.9,dP_Mock,dP,Mock
5.52,1.08,dP_Mock,dP,Mock
5.93,1.02,dP_Mock,dP,Mock
4.86,0.93,dP_Mock,dP,Mock
6.36,0.61,dP_Mock,dP,Mock
6.89,1.16,dP_Mock,dP,Mock
4.92,1.09,dP_Mock,dP,Mock
6.83,1.08,dP_Mock,dP,Mock
7.22,0.72,dP_Mock,dP,Mock
7.03,1.34,dP_Mock,dP,Mock
5.53,0.67,dP_Mock,dP,Mock
7.78,0.78,dP_Mock,dP,Mock
6.35,0.77,dP_Mock,dP,Mock
6.01,0.86,dP_Mock,dP,Mock
4.78,0.67,dP_Mock,dP,Mock
6.22,0.95,dP_Mock,dP,Mock
6.98,1.39,dP_Mock,dP,Mock
7.57,0.84,dP_Mock,dP,Mock
7.69,1.01,dP_Mock,dP,Mock
4.76,0.84,dP_Mock,dP,Mock
6.72,0.98,dP_Mock,dP,Mock
6.02,0.72,dP_Mock,dP,Mock
4.92,1.04,dP_Mock,dP,Mock
6.62,1.01,dP_Mock,dP,Mock
5.7,0.85,dP_Mock,dP,Mock
5.74,0.68,dP_Mock,dP,Mock
7.64,1.2,dP_Mock,dP,Mock
5.8,0.86,dP_Mock,dP,Mock
7.25,0.93,dP_Mock,dP,Mock
6.52,0.77,dP_Mock,dP,Mock
7.1,1.41,dP_Mock,dP,Mock
6.18,0.77,dP_Mock,dP,Mock
6.3,1.22,dP_Mock,dP,Mock
6.44,0.82,dP_Mock,dP,Mock
6.35,1.22,dP_Mock,dP,Mock
5.2,1.23,dP_Mock,dP,Mock
5.87,0.98,dP_Mock,dP,Mock
5.28,0.92,dP_Mock,dP,Mock
6.96,1.13,dP_Mock,dP,Mock
6.47,0.83,dP_Mock,dP,Mock
7.14,0.87,dP_Mock,dP,Mock
5.45,0.99,dP_Mock,dP,Mock
6.79,0.87,dP_Mock,dP,Mock
6.12,0.95,dP_Mock,dP,Mock
6.39,1.04,dP_Mock,dP,Mock
5.26,0.88,dP_Mock,dP,Mock
7.12,0.76,dP_Mock,dP,Mock
6.35,1.11,dP_Mock,dP,Mock
6.43,0.86,dP_Mock,dP,Mock
7.26,1.07,dP_Mock,dP,Mock
6.48,0.61,dP_Mock,dP,Mock
7.71,1.1,dP_Mock,dP,Mock
6.57,1.04,dP_Mock,dP,Mock
6.58,1.09,dP_Mock,dP,Mock
5.18,0.78,dP_Mock,dP,Mock
6.37,1.22,dP_Mock,dP,Mock
5.66,1.2,dP_Mock,dP,Mock
6.14,0.58,dP_Mock,dP,Mock
6.06,0.55,dP_Mock,dP,Mock
7.01,0.95,dP_Mock,dP,Mock
6.33,0.85,dP_Mock,dP,Mock
5.62,1.23,dP_Mock,dP,Mock
7.39,0.77,dP_Mock,dP,Mock
7.28,1,dP_Mock,dP,Mock
3.99,1.16,dP_Mock,dP,Mock
6.02,0.7,dP_Mock,dP,Mock
6.62,0.91,dP_Mock,dP,Mock
8.18,0.95,dP_Mock,dP,Mock
6.03,0.65,dP_Mock,dP,Mock
5.75,0.9,dP_Mock,dP,Mock
5.16,1.14,dP_Mock,dP,Mock
5.91,1.02,dP_Mock,dP,Mock
5.09,0.9,dP_Mock,dP,Mock
6.16,0.93,dP_Mock,dP,Mock
4.13,0.83,dP_Mock,dP,Mock
4.11,0.66,dP_Mock,dP,Mock
7.87,1.38,dP_Mock,dP,Mock
4.39,1.11,dP_Mock,dP,Mock
6.06,1.22,dP_Mock,dP,Mock
6.79,0.77,dP_Mock,dP,Mock
5.43,1.32,dP_Mock,dP,Mock
6.24,1.08,dP_Mock,dP,Mock
4.85,0.74,dP_Mock,dP,Mock
7.34,0.93,dP_Mock,dP,Mock
5.65,0.78,dP_Mock,dP,Mock
7.21,1.15,dP_Mock,dP,Mock
7.56,1.19,dP_Mock,dP,Mock
6.43,0.96,dP_Mock,dP,Mock
6.57,1.15,dP_Mock,dP,Mock
6.56,0.83,dP_Mock,dP,Mock
6.67,1.05,dP_Mock,dP,Mock
5.56,0.83,dP_Mock,dP,Mock
4.86,0.77,dP_Mock,dP,Mock
5.25,1.02,dP_Mock,dP,Mock
6.24,0.88,dP_Mock,dP,Mock
6.79,1.24,dP_Mock,dP,Mock
5.56,0.96,dP_Mock,dP,Mock
4.31,0.72,dP_Mock,dP,Mock
5.44,1.18,dP_Mock,dP,Mock
6.04,0.89,dP_Mock,dP,Mock
4.86,0.92,dP_Mock,dP,Mock
6.58,1.36,dP_Mock,dP,Mock
4.98,1,dP_Mock,dP,Mock
5.32,0.91,dP_Mock,dP,Mock
6.87,1.1,dP_Mock,dP,Mock
5.35,0.6,dP_Mock,dP,Mock
5.89,0.92,dP_Mock,dP,Mock
6.31,0.94,dP_Mock,dP,Mock
4.6,0.66,dP_Mock,dP,Mock
6.34,1.13,dP_Mock,dP,Mock
5.27,1.09,dP_Mock,dP,Mock
7.08,1.18,dP_Mock,dP,Mock
6.26,0.97,dP_Mock,dP,Mock
3.87,0.67,dP_Mock,dP,Mock
5.1,1.28,dP_Mock,dP,Mock
5.44,1.23,dP_Mock,dP,Mock
5.22,1,dP_Mock,dP,Mock
5.27,0.6,dP_Mock,dP,Mock
7.69,0.91,dP_Mock,dP,Mock
5.53,1.45,dP_Mock,dP,Mock
6.25,0.89,dP_Mock,dP,Mock
6.39,1.05,dP_Mock,dP,Mock
5.65,1.31,dP_Mock,dP,Mock
5.24,0.99,dP_Mock,dP,Mock
5.28,0.67,dP_Mock,dP,Mock
7.04,1.02,dP_Mock,dP,Mock
5.54,1.09,dP_Mock,dP,Mock
8.26,1.03,dP_Mock,dP,Mock
7.4,0.72,dP_Mock,dP,Mock
4.63,0.86,dP_Mock,dP,Mock
7.04,1.12,dP_Mock,dP,Mock
6.93,1.11,dP_Mock,dP,Mock
5.71,0.84,dP_Mock,dP,Mock
5.28,0.99,dP_Mock,dP,Mock
6.09,0.83,dP_Mock,dP,Mock
5.43,1.14,dP_Mock,dP,Mock
7.04,1.17,dP_Mock,dP,Mock
6.63,1.07,dP_Mock,dP,Mock
6.85,0.96,dP_Mock,dP,Mock
6.13,0.97,dP_Mock,dP,Mock
6.47,1.16,dP_Mock,dP,Mock
5.92,0.9,dP_Mock,dP,Mock
5.85,0.97,dP_Mock,dP,Mock
5.86,0.47,dP_Mock,dP,Mock
6.39,1.25,dP_Mock,dP,Mock
6.98,1,dP_Mock,dP,Mock
6.42,0.92,dP_Mock,dP,Mock
7.22,0.94,dP_Mock,dP,Mock
4.52,0.93,dP_Mock,dP,Mock
6.69,1.01,dP_Mock,dP,Mock
4.91,0.99,dP_Mock,dP,Mock
4.41,1.33,dP_Mock,dP,Mock
5.3,1.39,dP_Mock,dP,Mock
6.24,1.07,dP_Mock,dP,Mock
5.27,1.42,dP_Mock,dP,Mock
5.37,0.96,dP_Mock,dP,Mock
6.65,0.9,dP_Mock,dP,Mock
5.12,1.21,dP_Mock,dP,Mock
5.88,1.07,dP_Mock,dP,Mock
6.21,1.24,dP_Mock,dP,Mock
6.37,1.16,dP_Mock,dP,Mock
6.77,1.32,dP_Mock,dP,Mock
5.71,0.75,dP_Mock,dP,Mock
7.3,0.81,dP_Mock,dP,Mock
6.7,1.27,dP_Mock,dP,Mock
4.18,0.86,dP_Mock,dP,Mock
6.06,1,dP_Mock,dP,Mock
6.35,0.91,dP_Mock,dP,Mock
6.51,1.4,dP_Mock,dP,Mock
5.76,0.67,dP_Mock,dP,Mock
4.31,1.1,dP_Mock,dP,Mock
6.84,0.85,dP_Mock,dP,Mock
6.59,0.9,dP_Mock,dP,Mock
6.94,1.16,dP_Mock,dP,Mock
5.82,0.97,dP_Mock,dP,Mock
6.96,0.98,dP_Mock,dP,Mock
6.09,0.94,dP_Mock,dP,Mock
7.2,0.79,dP_Mock,dP,Mock
6.41,1.19,dP_Mock,dP,Mock
5.24,0.75,dP_Mock,dP,Mock
4.35,0.65,dP_Mock,dP,Mock
5.46,0.87,dP_Mock,dP,Mock
6.26,0.86,dP_Mock,dP,Mock
4.87,0.58,dP_Mock,dP,Mock
7.02,1.1,dP_Mock,dP,Mock
4.36,0.98,dP_Mock,dP,Mock
5.91,0.73,dP_Mock,dP,Mock
6.77,0.64,dP_Mock,dP,Mock
4.14,1.29,dP_Mock,dP,Mock
5.19,1.14,dP_Mock,dP,Mock
4.78,0.65,dP_Mock,dP,Mock
6.72,0.81,dP_Mock,dP,Mock
5.42,0.82,dP_Mock,dP,Mock
5.03,0.78,dP_Mock,dP,Mock
5.57,0.99,dP_Mock,dP,Mock
7.31,0.8,dP_Mock,dP,Mock
5.01,0.79,dP_Mock,dP,Mock
5.64,0.9,dP_Mock,dP,Mock
5.71,0.86,dP_Mock,dP,Mock
3.81,0.86,dP_Mock,dP,Mock
6.55,0.89,dP_Mock,dP,Mock
6.08,1.15,dP_Mock,dP,Mock
8.4,1.19,dP_Mock,dP,Mock
5.95,0.94,dP_Mock,dP,Mock
6.11,1.14,dP_Mock,dP,Mock
7.17,0.7,dP_Mock,dP,Mock
5.36,1,dP_Mock,dP,Mock
6.55,1.18,dP_Mock,dP,Mock
6.7,0.99,dP_Mock,dP,Mock
5.06,0.75,dP_Mock,dP,Mock
7.77,1.16,dP_Mock,dP,Mock
5.09,0.97,dP_Mock,dP,Mock
5.31,0.78,dP_Mock,dP,Mock
3.73,1.06,dP_Mock,dP,Mock
5.52,1.24,dP_Mock,dP,Mock
7.3,0.52,dP_Mock,dP,Mock
5.66,0.92,dP_Mock,dP,Mock
6.4,1.01,dP_Mock,dP,Mock
5.37,0.81,dP_Mock,dP,Mock
4.78,0.87,dP_Mock,dP,Mock
7.57,1.1,dP_Mock,dP,Mock
6.44,1.1,dP_Mock,dP,Mock
5.5,1.17,dP_Mock,dP,Mock
5.52,0.99,dP_Mock,dP,Mock
7.86,0.92,dP_Mock,dP,Mock
6.28,0.98,dP_Mock,dP,Mock
5.15,0.63,dP_Mock,dP,Mock
7.39,0.73,dP_Mock,dP,Mock
6.36,0.97,dP_Mock,dP,Mock
5.96,1.35,dP_Mock,dP,Mock
7.52,0.55,dP_Mock,dP,Mock
6.68,1.03,dP_Mock,dP,Mock
6.01,0.86,dP_Mock,dP,Mock
5.43,1.04,dP_Mock,dP,Mock
3.07,1.24,dP_Mock,dP,Mock
4.15,1.06,dP_Mock,dP,Mock
7,1.13,dP_Mock,dP,Mock
6.01,1.08,dP_Mock,dP,Mock
6.8,1.05,dP_Mock,dP,Mock
4.97,0.97,dP_Mock,dP,Mock
5.42,1.13,dP_Mock,dP,Mock
4.86,1.08,dP_Mock,dP,Mock
7.02,1.26,dP_Mock,dP,Mock
5.29,1.14,dP_Mock,dP,Mock
6.3,0.81,dP_Mock,dP,Mock
5.38,0.66,dP_Mock,dP,Mock
5.34,1.21,dP_Mock,dP,Mock
6.29,0.83,dP_Mock,dP,Mock
4.49,1.18,dP_Mock,dP,Mock
5.38,1.25,dP_Mock,dP,Mock
6.54,1.4,dP_Mock,dP,Mock
5.84,0.92,dP_Mock,dP,Mock
8.1,0.99,dP_Mock,dP,Mock
6.26,0.72,dP_Mock,dP,Mock
6.9,1.1,dP_Mock,dP,Mock
3.93,1.53,dP_Mock,dP,Mock
6.53,1.46,dP_Mock,dP,Mock
5.61,1.26,dP_Mock,dP,Mock
6.27,1.14,dP_Mock,dP,Mock
4.32,0.82,dP_Mock,dP,Mock
6.83,1.08,dP_Mock,dP,Mock
6.73,0.84,dP_Mock,dP,Mock
6.08,0.89,dP_Mock,dP,Mock
7.54,1.04,dP_Mock,dP,Mock
5.11,1.32,dP_Mock,dP,Mock
6.08,1.12,dP_Mock,dP,Mock
7.3,1.01,dP_Mock,dP,Mock
6.08,1.2,dP_Mock,dP,Mock
6.66,1.35,dP_Mock,dP,Mock
4.98,0.89,dP_Mock,dP,Mock
6.87,1.15,dP_Mock,dP,Mock
4.31,1.21,dP_Mock,dP,Mock
6.18,0.94,dP_Mock,dP,Mock
5.11,0.93,dP_Mock,dP,Mock
7.5,0.86,dP_Mock,dP,Mock
4.5,0.85,dP_Mock,dP,Mock
7.45,1.22,dP_Mock,dP,Mock
6.82,1.19,dP_Mock,dP,Mock
6.74,0.87,dP_Mock,dP,Mock
5.38,1.08,dP_Mock,dP,Mock
6.99,1,dP_Mock,dP,Mock
5.41,0.9,dP_Mock,dP,Mock
5.83,0.91,dP_Mock,dP,Mock
5.92,0.93,dP_Mock,dP,Mock
5.71,1.08,dP_Mock,dP,Mock
7.6,0.81,dP_Mock,dP,Mock
7.2,1.15,dP_Mock,dP,Mock
7.61,1.13,dP_Mock,dP,Mock
5.53,1.18,dP_Mock,dP,Mock
6.21,0.78,dP_Mock,dP,Mock
5.33,1.34,dP_Mock,dP,Mock
5.22,1.03,dP_Mock,dP,Mock
4.88,0.93,dP_Mock,dP,Mock
6.19,0.85,dP_Mock,dP,Mock
6.37,1.14,dP_Mock,dP,Mock
5.09,0.74,dP_Mock,dP,Mock
4.83,1.11,dP_Mock,dP,Mock
3.79,1.27,dP_Mock,dP,Mock
5.79,1.1,dP_Mock,dP,Mock
6.45,1.31,dP_Mock,dP,Mock
5.66,1.31,dP_Mock,dP,Mock
4.73,1.12,dP_Mock,dP,Mock
7.62,1.11,dP_Mock,dP,Mock
1.36,1.93,Col-0_PAC,Col-0,PAC
0.78,3.25,Col-0_PAC,Col-0,PAC
1.36,3.33,Col-0_PAC,Col-0,PAC
0.87,2.85,Col-0_PAC,Col-0,PAC
1.16,2.82,Col-0_PAC,Col-0,PAC
0.66,3.07,Col-0_PAC,Col-0,PAC
0.87,3.63,Col-0_PAC,Col-0,PAC
0.87,2.9,Col-0_PAC,Col-0,PAC
0.55,3.04,Col-0_PAC,Col-0,PAC
1.47,2.04,Col-0_PAC,Col-0,PAC
0.81,2.5,Col-0_PAC,Col-0,PAC
1.14,2.39,Col-0_PAC,Col-0,PAC
0.94,2.63,Col-0_PAC,Col-0,PAC
1.58,2.8,Col-0_PAC,Col-0,PAC
1.24,2.57,Col-0_PAC,Col-0,PAC
0.87,2.21,Col-0_PAC,Col-0,PAC
1.4,2.85,Col-0_PAC,Col-0,PAC
0.83,2.85,Col-0_PAC,Col-0,PAC
1.17,2.09,Col-0_PAC,Col-0,PAC
0.85,3.26,Col-0_PAC,Col-0,PAC
0.88,3.26,Col-0_PAC,Col-0,PAC
1.1,2.65,Col-0_PAC,Col-0,PAC
1.22,2.58,Col-0_PAC,Col-0,PAC
1.24,2.89,Col-0_PAC,Col-0,PAC
0.95,2.88,Col-0_PAC,Col-0,PAC
1.17,2.71,Col-0_PAC,Col-0,PAC
1.15,2.92,Col-0_PAC,Col-0,PAC
1.72,2.22,Col-0_PAC,Col-0,PAC
1.2,2.55,Col-0_PAC,Col-0,PAC
1.03,2.38,Col-0_PAC,Col-0,PAC
0.85,2.69,Col-0_PAC,Col-0,PAC
0.73,2.51,Col-0_PAC,Col-0,PAC
0.85,2.51,Col-0_PAC,Col-0,PAC
1.17,2.66,Col-0_PAC,Col-0,PAC
0.79,1.97,Col-0_PAC,Col-0,PAC
1.07,3.18,Col-0_PAC,Col-0,PAC
1.16,2.91,Col-0_PAC,Col-0,PAC
1.52,2.55,Col-0_PAC,Col-0,PAC
1.41,3.43,Col-0_PAC,Col-0,PAC
1.01,2.68,Col-0_PAC,Col-0,PAC
0.7,3.41,Col-0_PAC,Col-0,PAC
1.35,2.59,Col-0_PAC,Col-0,PAC
1.19,2.39,Col-0_PAC,Col-0,PAC
0.97,3.25,Col-0_PAC,Col-0,PAC
1.27,3.47,Col-0_PAC,Col-0,PAC
1.29,2.84,Col-0_PAC,Col-0,PAC
0.74,2.23,Col-0_PAC,Col-0,PAC
1.7,2.7,Col-0_PAC,Col-0,PAC
1.25,3.01,Col-0_PAC,Col-0,PAC
0.69,1.77,Col-0_PAC,Col-0,PAC
1.16,2.49,Col-0_PAC,Col-0,PAC
0.9,2.72,Col-0_PAC,Col-0,PAC
0.6,2.75,Col-0_PAC,Col-0,PAC
1.22,3.56,Col-0_PAC,Col-0,PAC
0.75,3.21,Col-0_PAC,Col-0,PAC
1.01,2.71,Col-0_PAC,Col-0,PAC
1.05,2.77,Col-0_PAC,Col-0,PAC
0.74,2.56,Col-0_PAC,Col-0,PAC
0.96,2.58,Col-0_PAC,Col-0,PAC
0.86,2.51,Col-0_PAC,Col-0,PAC
0.74,2.4,Col-0_PAC,Col-0,PAC
1.33,2.54,Col-0_PAC,Col-0,PAC
1.15,3.34,Col-0_PAC,Col-0,PAC
1.1,3.06,Col-0_PAC,Col-0,PAC
0.88,2.89,Col-0_PAC,Col-0,PAC
1,1.96,Col-0_PAC,Col-0,PAC
0.87,2.45,Col-0_PAC,Col-0,PAC
0.52,3.59,Col-0_PAC,Col-0,PAC
1.09,3.1,Col-0_PAC,Col-0,PAC
0.77,2.72,Col-0_PAC,Col-0,PAC
1.01,2.88,Col-0_PAC,Col-0,PAC
1.26,2.72,Col-0_PAC,Col-0,PAC
1.19,2.45,Col-0_PAC,Col-0,PAC
0.58,2.6,Col-0_PAC,Col-0,PAC
0.97,2.74,Col-0_PAC,Col-0,PAC
0.9,2.97,Col-0_PAC,Col-0,PAC
0.89,2.24,Col-0_PAC,Col-0,PAC
0.95,3.26,Col-0_PAC,Col-0,PAC
1.49,2.68,Col-0_PAC,Col-0,PAC
1.35,3.41,Col-0_PAC,Col-0,PAC
1.17,2.8,Col-0_PAC,Col-0,PAC
1.17,3.24,Col-0_PAC,Col-0,PAC
1.16,3.33,Col-0_PAC,Col-0,PAC
0.77,2.51,Col-0_PAC,Col-0,PAC
1.1,2.63,Col-0_PAC,Col-0,PAC
1,1.88,Col-0_PAC,Col-0,PAC
1.41,2.41,Col-0_PAC,Col-0,PAC
1.48,2.21,Col-0_PAC,Col-0,PAC
1.17,3.04,Col-0_PAC,Col-0,PAC
1.22,2.84,Col-0_PAC,Col-0,PAC
0.99,2.46,Col-0_PAC,Col-0,PAC
0.28,3.17,Col-0_PAC,Col-0,PAC
0.94,2.16,Col-0_PAC,Col-0,PAC
0.98,2.62,Col-0_PAC,Col-0,PAC
0.83,2.73,Col-0_PAC,Col-0,PAC
0.79,2.51,Col-0_PAC,Col-0,PAC
0.76,1.91,Col-0_PAC,Col-0,PAC
1.12,2.63,Col-0_PAC,Col-0,PAC
0.86,3.4,Col-0_PAC,Col-0,PAC
1.22,2.35,Col-0_PAC,Col-0,PAC
0.77,3.02,Col-0_PAC,Col-0,PAC
0.56,2.65,Col-0_PAC,Col-0,PAC
1.29,2.14,Col-0_PAC,Col-0,PAC
1.08,2.44,Col-0_PAC,Col-0,PAC
0.73,1.85,Col-0_PAC,Col-0,PAC
1.25,1.97,Col-0_PAC,Col-0,PAC
0.46,2.71,Col-0_PAC,Col-0,PAC
1,2.41,Col-0_PAC,Col-0,PAC
0.68,2.23,Col-0_PAC,Col-0,PAC
1.22,2.64,Col-0_PAC,Col-0,PAC
1.6,3.38,Col-0_PAC,Col-0,PAC
1.3,3.18,Col-0_PAC,Col-0,PAC
1.65,2.46,Col-0_PAC,Col-0,PAC
0.58,2.05,Col-0_PAC,Col-0,PAC
1.26,3.28,Col-0_PAC,Col-0,PAC
1.2,2.53,Col-0_PAC,Col-0,PAC
0.59,2.64,Col-0_PAC,Col-0,PAC
1.07,2.67,Col-0_PAC,Col-0,PAC
1.16,2.81,Col-0_PAC,Col-0,PAC
1.34,2.18,Col-0_PAC,Col-0,PAC
1.2,3.46,Col-0_PAC,Col-0,PAC
1.16,2.91,Col-0_PAC,Col-0,PAC
1.62,2.99,Col-0_PAC,Col-0,PAC
0.95,3.46,Col-0_PAC,Col-0,PAC
0.84,1.84,Col-0_PAC,Col-0,PAC
1.07,2.42,Col-0_PAC,Col-0,PAC
1.48,3.18,Col-0_PAC,Col-0,PAC
0.85,2.43,Col-0_PAC,Col-0,PAC
1.01,2.03,Col-0_PAC,Col-0,PAC
0.73,2.45,Col-0_PAC,Col-0,PAC
0.9,2.84,Col-0_PAC,Col-0,PAC
1.12,2.61,Col-0_PAC,Col-0,PAC
1.18,2.36,Col-0_PAC,Col-0,PAC
1.2,2.61,Col-0_PAC,Col-0,PAC
0.73,2.83,Col-0_PAC,Col-0,PAC
1.14,3.13,Col-0_PAC,Col-0,PAC
1.02,2.75,Col-0_PAC,Col-0,PAC
1.59,2.6,Col-0_PAC,Col-0,PAC
1.8,2.24,Col-0_PAC,Col-0,PAC
1.42,2.21,Col-0_PAC,Col-0,PAC
0.53,2.81,Col-0_PAC,Col-0,PAC
1.1,2.19,Col-0_PAC,Col-0,PAC
0.91,2.8,Col-0_PAC,Col-0,PAC
0.96,2.48,Col-0_PAC,Col-0,PAC
1.33,2.65,Col-0_PAC,Col-0,PAC
1.06,3.62,Col-0_PAC,Col-0,PAC
1.07,2.92,Col-0_PAC,Col-0,PAC
1.14,1.96,Col-0_PAC,Col-0,PAC
0.82,2.62,Col-0_PAC,Col-0,PAC
0.88,2.83,Col-0_PAC,Col-0,PAC
1.31,2.95,Col-0_PAC,Col-0,PAC
1.19,2.8,Col-0_PAC,Col-0,PAC
